Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2016-06-24,82.61,83.82,81.99,82.26,12400528.0,0.0,1.0,73.622136934516,74.700490471506,73.069592146967,73.310216489932,12400528.0
2016-06-23,83.81,84.21,83.57,84.21,7359818.0,0.0,1.0,74.691578458804,75.0480589669,74.477690153946,75.0480589669,7359818.0
2016-06-22,83.5,83.76,83.29,83.57,4939053.0,0.0,1.0,74.41530606503,74.647018395292,74.228153798279,74.477690153946,4939053.0
2016-06-21,83.09,83.78,83.09,83.41,6594737.0,0.0,1.0,74.049913544231,74.664842420697,74.049913544231,74.335097950708,6594737.0
2016-06-20,83.52,83.7,83.03,83.04,6164326.0,0.0,1.0,74.433130090434,74.593546319078,73.996441468017,74.005353480719,6164326.0
2016-06-17,83.31,83.44,82.35,83.13,11741742.0,0.0,1.0,74.245977823684,74.361833988815,73.390424604254,74.085561595041,11741742.0
2016-06-16,82.67,83.609,82.66,83.41,6630088.0,0.0,1.0,73.67560901073,74.512447003486,73.666696998028,74.335097950708,6630088.0
2016-06-15,83.4,83.5,82.819,82.95,7081953.0,0.0,1.0,74.326185938006,74.41530606503,73.808397999996,73.925145366398,7081953.0
2016-06-14,82.55,83.37,82.27,83.35,6868619.0,0.0,1.0,73.568664858302,74.299449899898,73.319128502634,74.281625874494,6868619.0
2016-06-13,82.96,83.4,82.53,82.57,6167444.0,0.0,1.0,73.9340573791,74.326185938006,73.550840832897,73.586488883706,6167444.0
2016-06-10,82.77,83.34,82.61,83.2,6840768.0,0.0,1.0,73.764729137754,74.272713861791,73.622136934516,74.147945683958,6840768.0
2016-06-09,82.58,83.26,82.43,83.17,6144895.0,0.0,1.0,73.595400896409,74.201417760172,73.461720705873,74.12120964585,6144895.0
2016-06-08,82.37,82.75,82.02,82.65,4712567.0,0.0,1.0,73.408248629658,73.74690511235,73.096328185075,73.657784985326,4712567.0
2016-06-07,82.76,82.89,82.25,82.32,6327475.0,0.0,1.0,73.755817125052,73.871673290183,73.30130447723,73.363688566146,6327475.0
2016-06-06,82.4,82.83,82.2347,82.77,5292348.0,0.0,1.0,73.434984667766,73.818201213969,73.287669097795,73.764729137754,5292348.0
2016-06-03,81.93,82.49,81.78,82.47,6306519.0,0.0,1.0,73.016120070753,73.515192782087,72.882439880217,73.497368756682,6306519.0
2016-06-02,81.53,81.95,81.3299,81.95,5186323.0,0.0,1.0,72.659639562657,73.033944096158,72.481310188482,73.033944096158,5186323.0
2016-06-01,80.95,81.8,80.86,81.79,6183908.0,0.0,1.0,72.142742825918,72.900263905622,72.062534711596,72.891351892919,6183908.0
